title,review,country_date
5.0 out of 5 stars Such a great scent!!,"If you want a scent that smells exactly like autumn, this is it. It smells SOOOOO GOOD! I think it smells more cinnamon-y than pumpkin-y, which I am definitely okay with. However, it's very, very strong though (even unlit) so overpowered my small guest bathroom pretty quickly with the lid off. I moved it to my living room mantel so it could scent up the whole house and that was a much better idea!","Reviewed in the United States 🇺🇸 on October 9, 2022"
2.0 out of 5 stars Zero scent,Was excited to light this candle..it was a disappointment..Zero scent,"Reviewed in the United States 🇺🇸 on October 9, 2022"
1.0 out of 5 stars No Scent,Very disappointed. I believe this is a very expensive fake candle.,"Reviewed in the United States on October 9, 2022"
3.0 out of 5 stars Not very aromatic,Burns for a long time and looks very pleasing in its container. However is not very aromatic. Sent is barely noticeable.,"Reviewed in the United States on October 8, 2022"
3.0 out of 5 stars Smells divine,I was disappointed in this particular candle as it didn’t burn evenly. Never had a problem with Yankee before and will continue to purchase their product.,"Reviewed in the United States on October 8, 2022"
2.0 out of 5 stars Disappointed,Very faint scent for a full price name brand product. Have had better experience with cheaper generic products.,"Reviewed in the United States on October 8, 2022"
1.0 out of 5 stars Shatter glass and used wick.,Glass arrived completely shattered. It was supposed to be a resale item that I bought but the wick was also used! Resale items are NOT supposed to be USED!!!! Very disappointed,"Reviewed in the United States on October 8, 2022"
5.0 out of 5 stars No fragrance,This must have been an old candle. There’s no smell. I already started burning it so had to keep. Waste of money.,"Reviewed in the United States on October 8, 2022"
5.0 out of 5 stars Great scent,Love the scent. Long burning hours. Nice jar!,"Reviewed in the United States on October 8, 2022"
3.0 out of 5 stars Smells nice but not strong,Smells nice but it’s not strong enough for me. I had it burning in my studio for an hour or so and it still didn’t permeate as much as I was expecting it to.,"Reviewed in the United States on October 8, 2022"
5.0 out of 5 stars The smell is wonderful,The smell is wonderful,"Reviewed in the United States on October 7, 2022"
5.0 out of 5 stars Smells heavenly!,This candle smells absolutely amazing! I burned it for several hours the first day I received it and it didn't go down at all. Will definitely last a long time.,"Reviewed in the United States on October 7, 2022"
5.0 out of 5 stars Chocolate lovers will love this scent.,I buy this scent all the time. I usually have at least 4 to 5 candles in different rooms going at one time and you will have to eat some kind of chocolate ASAP.,"Reviewed in the United States 🇺🇸 on October 7, 2022"
5.0 out of 5 stars Love this smell,Love this candle. Smell is woo.,"Reviewed in the United States 🇺🇸 on October 7, 2022"
5.0 out of 5 stars Can barely smell the scent.,I don't know what is going on with candles now a days but the smell of them are barely there very disappointed.,"Reviewed in the United States 🇺🇸 on October 6, 2022"
1.0 out of 5 stars This is the first Yankee candle I have ever had that has absolutely no scent at all!!,Absolutely no scent!,"Reviewed in the United States 🇺🇸 on October 6, 2022"
1.0 out of 5 stars No fragrance,"I am usually a fan of Yankee Candles but have never purchased them through Amazon. This one has no fragrance when lit, which is very unusual for Yankee Candles. My only thought is that it is old.","Reviewed in the United States 🇺🇸 on October 6, 2022"
5.0 out of 5 stars The Best Candle of All Time,Smells like home. Absolutely love this scent.,"Reviewed in the United States 🇺🇸 on October 6, 2022"
4.0 out of 5 stars Smell last. It was great.,"I like the fact that I smell it when it's on my nightstand table. I can smell it when, I'm in the bed. Presß=I'm going to send people","Reviewed in the United States 🇺🇸 on October 6, 2022"
2.0 out of 5 stars The candle was broken at the top,Cancel was broken at the top.,"Reviewed in the United States 🇺🇸 on October 6, 2022"
"1.0 out of 5 stars Defective, no scent.",Usually Yankee candles are great. The two I was sent burn with barely a scent.,"Reviewed in the United States 🇺🇸 on October 5, 2022"
5.0 out of 5 stars Smells great,"Powerful smell, burns well.","Reviewed in the United States 🇺🇸 on October 5, 2022"
1.0 out of 5 stars doesn't even smell when burning,don't waste your money.. does not even smell when burning,"Reviewed in the United States 🇺🇸 on October 4, 2022"
5.0 out of 5 stars Less soot in the house with Yankee candles.,Decent price. Worth the little extra over bargain brands.,"Reviewed in the United States 🇺🇸 on October 4, 2022"
2.0 out of 5 stars Not the Strongest,I seen this candle at another store for around 30 bucks. It smelled fantastic. I ordered here and was super excited thinking I got a deal on a Yankee Candle but you could hardly smell the candle when it was burning. I'm usually a big fan of Yankee but lately when I purchase them; I'm a little disappointed.,"Reviewed in the United States 🇺🇸 on October 4, 2022"
1.0 out of 5 stars don't buy,This must have been stored in the heat. It appeared that part was melted around the plastic on the cap and I also think most of the scent was removed from the wax an around the plastic ring on the cap. Extremely disappointing!,"Reviewed in the United States 🇺🇸 on October 4, 2022"
1.0 out of 5 stars Next to zero scent,Candle has almost zero scent while burning.,"Reviewed in the United States 🇺🇸 on October 3, 2022"
1.0 out of 5 stars No scent whatsoever!,"Paid extra for Yankee Candle, throws absolutely no scent!","Reviewed in the United States 🇺🇸 on October 3, 2022"
1.0 out of 5 stars Never before !,"I have ordered Yankee Candles from many retailers. A few were broken but it looked like the guts of a candle. On opening the box, I marveled at how well it was packed. Then I took out the candle and could not believe my eyes ! There was melted wax around the inner rim. That wax on top was oily looking. The wax in the canister is hard for me to describe. Color was layered in different shades of the candle color ( burnt orange ? ) I know that I got this candle at a discounted price but you should at least be able to burn it ! I have NEVER gotten anything from amazon so disgusting. Someone should check the item before shipping. Of course, I will return this supposed candle-------- Wish you had a "" 0 "" rating !","Reviewed in the United States 🇺🇸 on October 3, 2022"
5.0 out of 5 stars Where is the scent?,"I accidentally bought this scent as it was similar to Sugared Cinnamon Apple, which I had meant to buy. Not Amazon's fault at all so I kept it. It burns well and is pretty to watch but there is barely any scent! If you sniff the candle itself with your nose in the jar you can smell the cinnamon, but it does not diffuse into the air. It's basically like having an unscented candle. Next time I will be more careful!! The Sugared Cinnamon Apple has an AMAZING smell and it fills the room!","Reviewed in the United States 🇺🇸 on October 2, 2022"
2.0 out of 5 stars Never bought a Yankee Cansle without a scent!,"Was excited to start the fall season with a Yankee pumpkin spice candle. Unfortunately, there was no scent when I burned the candle. This has never happened in any purchase they sell Yankee Candles. Very disappointed.","Reviewed in the United States 🇺🇸 on October 2, 2022"
1.0 out of 5 stars Very little scent.,This candle had very little scent. I am really disappointed. I’ve enjoyed Yankee candles in the past but I will hesitate to buy one again,"Reviewed in the United States 🇺🇸 on October 2, 2022"
1.0 out of 5 stars Do not buy this candle scent is not strong at all.,I was very disappointed with this candle. I expected a scented pumkin spice to fill the air in the room but i got nothing. Yankee candles are my favorite but i believe i got some generic brand of the yankee candle.,"Reviewed in the United States on October 2, 2022"
5.0 out of 5 stars good product......,Scent very good but burns quickly.....,"Reviewed in the United States on October 1, 2022"
1.0 out of 5 stars A complete dude,No scent and burned out in a Couple days.,"Reviewed in the United States on October 1, 2022"
