title,author,date,abstract,column,url
Duke is on the wrong side of labor union history. Here’s its chance to get it right,Pilar Kelly ,2022-09-27,I urge the university to voluntarily recognize DGSU and thus signal a new age in labor relations. Duke has the power to symbolically depart from its part in the story of worker oppression– the beginning of which starts on the same plot of land that graduate students plant their table today. ,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092722-kelly-union-history
Reflections on Latinx Heritage Month,Anthony Salgado ,2022-09-27,"At an institution like Duke, finding people like you can be hard but you are making a generational path for others by doing so. Your future descendants are thanking you right now, so seize your opportunities and make them proud.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/09272022-salgado-lhm
A tribute to Queen Elizabeth II,Sophie Ju ,2022-09-26,"To many countries, she not only represented the companion of time and space, but also the spiritual bond—an embodiment of history, tradition and values. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092622-ju-queen-elizabeth
"Shana Tova! – Sincerely, Duke University",Dena Levin ,2022-09-25,"809 is the number of Jewish students who are forced to make the choice: go to class, or go to synagogue.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092422-levin-duke-jewish-students-holiday-break
Pessimism is easy,Ooha Reddy ,2022-09-24,"It felt selfish at points to put myself out there and advocate for an issue that felt like it only concerned me, but the people around me assured me that my own cause is still worth fighting for.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092322-reddy-pessimism-is-easy
How Duke is failing sexual assault victims,Billy Cao ,2022-09-23,"The Duke Today article is a quintessential example of the institution’s infantilization of students, antagonism towards advocates, dismissal of constructive criticism, and to be frank, perpetuation of patriarchal defenses. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092322-cao-duke-mistreats-sexual-assault-victims
​​Why is GroupMe so terrible? The Windows XP of online communication,James Gao ,2022-09-23,Our campus – and all campuses – should have ways of connecting with others that are actually pleasant to use.,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092322-gao-groupme
Who's expected to mourn the queen?,Sydney Brown ,2022-09-23,Who's allowed to mourn the queen? How are they allowed to do so?,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092322-brown-mourning-queen-empire
Do nothing.,Spencer Chang ,2022-09-23,Do nothing.,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092322-chang-do-nothing
All-time empathy is toxic,Chi Nghiem ,2022-09-22,Empathy is now not the pure act of altruism or cherishing but the norms that dictate one’s tie to a group or a person.,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092222-nghiem-empathy
Duke doesn’t want me. Neither does my home.,Viktoria Wulff-Andersen ,2022-09-22,The thing about being constantly forced to confront your lack of a permanent residence is that you’re also forced to reconcile with the fact that you’re not as important to the trajectory of others as you might think. Life goes on regardless of if you’re there or not.,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092222-wulff-andersen-home
What's so special about peanuts?,Sonia Green ,2022-09-22,"If Duke truly wants to be allergen-friendly, we should at least recognize more allergens than just peanuts and tree nuts.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092222-green-peanuts
Vote in North Carolina. Pretty please.,Chloe Decker ,2022-09-21,"As one of only several North Carolina universities where the majority of the student body does not originate from within the state, Duke holds a unique position to contribute thousands of young, diverse voters to the electorate.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/092122-decker-vote-in-north-carolina-please
