"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","1998","1998","PC","Percentage","0","Units",,,0.922466865804051,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","1999","1999","PC","Percentage","0","Units",,,0.568986519284555,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.34486839687016,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.64999999999997,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,1.81035882448452,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,1.35555378358982,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.06120682873104,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.29913772525068,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.44154653778849,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.16855593888618,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.21595111754302,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.506309393986597,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.81353173680539,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.28658305428623,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.48567508675653,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.00015749271597,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.60580560487915,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.896565286860077,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.891592367302709,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.08126858275521,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.99838187702262,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.53089553422702,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,1.38190954773872,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.76666666666667,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","1993","1993","PC","Percentage","0","Units",,,2.75442578302316,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","1994","1994","PC","Percentage","0","Units",,,2.37754452926211,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","1995","1995","PC","Percentage","0","Units",,,1.46796116504854,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","1996","1996","PC","Percentage","0","Units",,,2.07702462348191,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","1997","1997","PC","Percentage","0","Units",,,1.62816049512958,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","1998","1998","PC","Percentage","0","Units",,,0.949250288350633,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","1999","1999","PC","Percentage","0","Units",,,1.12084823417846,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.54451776190907,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.46925823086076,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,1.6452143617536,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,1.5889639997038,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.09728311239311,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.78143263670022,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.79120770070459,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,1.8230563002681,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.48944420508401,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,-0.0531456741253759,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.18929920422456,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.53208210722745,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.83966343445896,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.11309594027539,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.340002833356929,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.561429152790128,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.97385264653172,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.12597086002609,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.05316499865182,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.43681956996435,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.740791812220349,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.44024851144084,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","1993","1993","PC","Percentage","0","Units",,,1.86507936507936,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","1994","1994","PC","Percentage","0","Units",,,0.16556291390731,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","1995","1995","PC","Percentage","0","Units",,,2.14876033057849,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","1996","1996","PC","Percentage","0","Units",,,1.57053112507136,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","1997","1997","PC","Percentage","0","Units",,,1.6212163808453,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","1998","1998","PC","Percentage","0","Units",,,0.995942456658049,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","1999","1999","PC","Percentage","0","Units",,,1.73484295105918,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.71943995691977,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.52512013979905,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.25839440940856,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.75856321360111,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,1.8572587185726,,
